Z,N,BE_exp,BE_misr,BE_pymisr,misr_residuals,pymisr_residuals
9,18,185.76,186.22299999999998,188.18756192465463,0.46299999999999386,2.42756192465464
9,18,185.76,186.22299999999998,188.18756192465463,0.46299999999999386,2.42756192465464
9,18,185.76,186.22299999999998,188.18756192465463,0.46299999999999386,2.42756192465464
9,18,185.76,186.22299999999998,188.18756192465463,0.46299999999999386,2.42756192465464
9,16,183.4,185.0380788453982,182.3589600118563,1.6380788453981836,-1.0410399881436945
9,16,183.4,185.0380788453982,182.3589600118563,1.6380788453981836,-1.0410399881436945
9,16,183.4,185.0380788453982,182.3589600118563,1.6380788453981836,-1.0410399881436945
9,17,184.132,185.9679625609628,185.58806384651083,1.8359625609627983,1.4560638465108298
9,17,184.132,185.9679625609628,185.58806384651083,1.8359625609627983,1.4560638465108298
9,17,184.132,185.9679625609628,185.58806384651083,1.8359625609627983,1.4560638465108298
9,10,147.8013648,158.37634523219504,145.85435084016282,10.574980432195048,-1.9470139598371645
9,11,154.402702,166.18047908819568,154.4137274329924,11.777777088195677,0.011025432992397555
9,14,175.3129,180.75105451359337,173.76871979234232,5.438154513593361,-1.5441802076576892
9,14,175.3129,180.75105451359337,173.76871979234232,5.438154513593361,-1.5441802076576892
9,15,179.13600000000002,183.33702361439927,178.44134292005214,4.201023614399247,-0.6946570799478877
9,15,179.13600000000002,183.33702361439927,178.44134292005214,4.201023614399247,-0.6946570799478877
9,12,162.50409,172.35419741059866,161.84672839597948,9.850107410598667,-0.6573616040205081
9,13,167.7346,177.1445802707197,168.26575105518737,9.4099802707197,0.5311510551873653
9,13,167.7346,177.1445802707197,168.26575105518737,9.4099802707197,0.5311510551873653
9,20,186.876,185.02612465343194,191.70158400886388,-1.8498753465680693,4.825584008863871
9,20,186.876,185.02612465343194,191.70158400886388,-1.8498753465680693,4.825584008863871
9,20,186.876,185.02612465343194,191.70158400886388,-1.8498753465680693,4.825584008863871
9,20,186.876,185.02612465343194,191.70158400886388,-1.8498753465680693,4.825584008863871
9,9,137.36952,148.63,136.03895193580223,11.260480000000001,-1.330568064197763
10,10,160.644824,165.33,154.1522387583277,4.685176000000013,-6.492585241672288
10,11,167.4059856,175.55132085534237,164.23446730714244,8.14533525534236,-3.17151829285757
10,12,177.7702432,184.0116956667792,173.1264790701587,6.2414524667791795,-4.6437641298413155
10,13,182.970888,190.96652752142896,180.94321856091773,7.995639521428956,-2.027669439082274
10,14,191.8398,196.6228345539429,187.7852909619645,4.783034553942912,-4.054509038035491
10,15,195.995,201.1509653514675,193.74113053735326,5.155965351467501,-2.2538694626467475
10,16,201.5494,204.69286286900999,198.88878710443686,3.143462869009994,-2.6606128955631334
10,16,201.5494,204.69286286900999,198.88878710443686,3.143462869009994,-2.6606128955631334
